REGIÓN,PROVINCIA,DISTRITO,NOMBRE DEL RECURSO,SUB TIPO CATEGORÍA,URL,LATITUD,LONGITUD
Puno,Huancane,VILQUE CHICO,Baños Termales Piscina De Juriruni,Ojos de agua,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12682,-6.965.009.473,-1.527.565.091
Puno,Huancane,VILQUE CHICO,Cascada De Fauchinta De Machaca-Marca,Cascadas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12622,-69.476.938,-15.122.673
Huánuco,Pachitea,UMARI,Sitio Arqueológico De Cruz Punta.,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12305,-7.606.102,-985.277
Arequipa,Islay,MEJIA,Laguna De La Alameda,Humedales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12553,-7.191.302,-1.709.562
Lima,Lima,SANTIAGO DE SURCO,Bodega J. Ugarelli S.,"Bodegas de pisco, vinos y/u otros licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12403,-7.701.321.113,-1.213.880.524
Lima,Huarochiri,LAHUAYTAMBO,Plaza Francisco Inka De Lahuaytambo,Plazas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12307,-763.888,-1.209.658
Lima,Huarochiri,LAHUAYTAMBO,Danza Los Negritos De Lahuaytambo,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12323,,
Ayacucho,La Mar,CHILCAS,Catarata Las Gemelas,Cataratas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12482,-7.393.444,-1.314.847
Huánuco,Pachitea,UMARI,Danza De Faillia,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12318,,
Ayacucho,La Mar,CHILCAS,Chipticha Chilquino,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12481,,
Huánuco,Pachitea,UMARI,Inca Danza,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12317,,
Huánuco,Pachitea,UMARI,Jija Wuanka,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12316,,
Huánuco,Pachitea,UMARI,Danza Mamarayhuana,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12306,,
Ayacucho,La Mar,CHILCAS,Carnaval Chilquino,"Fiestas Tradicionales(Herranza, carnavales, otros)",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12480,,
Arequipa,Arequipa,LA JOYA,Pampas De La Joya,Desiertos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12309,-7.196.662.903,-165.740.099
Huánuco,Huanuco,SAN FRANCISCO DE CAYRAN,Danza De Mama Raywana - Cayran,Música y Danzas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12347,,
Arequipa,Camana,MARIANO NICOLÁS VALCÁRCEL,Capisca De Camarón,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12333,,
Ayacucho,Huamanga,JESÚS NAZARENO,Castillo De Santo Domingo,Formaciones rocosas(bosque de piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12657,-741.146,-13.071
Arequipa,Camana,NICOLÁS DE PIEROLA,Cebiche De Camarón Con Coral,Platos Típicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12332,,
Huánuco,Huanuco,SAN FRANCISCO DE CAYRAN,Pinturas Rupestres De Togmopunta,Pintura Rupestre,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12439,-76.299.361,-9.979.656
Lima,Cañete,MALA,Mirador Turistico Santa Rosa,Miradores,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12341,-76.626.642,-12.656.607
Huánuco,Pachitea,UMARI,Area De Conservacion Privada San Marcos,Áreas de conservación privada,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12366,-7.601.657,-985.302
Pasco,Daniel Alcides Carrion,TAPUC,Sitio Arqueológico Chumbivilca,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12377,-76.466.076,-10.464.516
Lima,Lima,SURQUILLO,Huaca La Merced,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12396,-7.700.598.344,-1.211.680.694
Cusco,Canchis,MARANGANI,Montañas De Colores Puka Punchu,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12390,-711.694.029,-14.427.934
Cusco,Canchis,MARANGANI,Montaña De Colores Pallay Punchu De T´Akllo,Cerros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12386,-7.111.122.178,-1.442.540.526
Cusco,Canchis,MARANGANI,Chullpas Preinca De Ccuyo,Cementerios,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12389,-711.350.848,-143.805.322
Cusco,Urubamba,URUBAMBA,Palacio Wayna Qhapac,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12387,-721.143.644,-133.009.267
Cusco,Urubamba,URUBAMBA,Mirador De Tantanmarka,Miradores,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12388,-72.115.567,-13.304.455
Arequipa,Arequipa,LA JOYA,Laguna Y Salinera De San Camilo,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12462,-71.951.509,-16.726.701
Lima,Lima,LIMA,Huaca La Luz,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12397,-7.707.213.233,-1.206.683.707
Cusco,La Convencion,HUAYOPATA,Unu Raymi,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13023,,
Cusco,La Convencion,HUAYOPATA,Festividad Virgen Del Carmen,Otros,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=13004,,
Cusco,La Convencion,HUAYOPATA,Mirador San Luis,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12465,-72.390.014,-13.089.619
Cusco,La Convencion,HUAYOPATA,Sitio Arqueologico Capillayoq,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12942,-72.523.844,-13.002.764
Cusco,La Convencion,HUAYOPATA,Mirador Apu Yanantin - Machupicchu,Miradores naturales,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12464,-72.507.361,-13.088.629
Tumbes,Contralmirante Villar,CANOAS DE PUNTA SAL,Playa Cancas,Playas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12507,-809.427,-394.593
Lima,Lima,LURIGANCHO,Zona Arqueológica Cajamarquilla,Zonas arqueológicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=12676,-7.690.633.986,-1.198.530.784
